Time [s], Analyzer Name, Decoded Protocol Result
0.004536312500000,PXX,0b  1111  1110
0.004717937500000,PXX,0b  0001  0010
0.004861750000000,PXX,0b  0000  0000
0.004990062500000,PXX,0b  0000  0000
0.005117062500000,PXX,0b  0000  0000
0.005246187500000,PXX,0b  0000  0100
0.005382875000000,PXX,0b  0100  0000
0.005518812500000,PXX,0b  0000  0000
0.005643750000000,PXX,0b  0000  0100
0.005777000000000,PXX,0b  0100  0000
0.005914562500000,PXX,0b  0000  0000
0.006042125000000,PXX,0b  0000  0100
0.006173750000000,PXX,0b  0100  0000
0.006308875000000,PXX,0b  0000  0000
0.006437437500000,PXX,0b  0000  0100
0.006576062500000,PXX,0b  0100  0000
0.006710937500000,PXX,0b  0100  0000
0.006844250000000,PXX,0b  0110  0111
0.007009250000000,PXX,0b  1111  0111
0.007199000000000,PXX,0b  0111  1110
0.013903312500000,PXX,0b  0111  1110
0.014077250000000,PXX,0b  0001  0010
0.014218625000000,PXX,0b  0000  0000
0.014346875000000,PXX,0b  0000  0000
0.014476500000000,PXX,0b  0000  1000
0.014607812500000,PXX,0b  0000  0100
0.014739437500000,PXX,0b  0100  0000
0.014877000000000,PXX,0b  0000  0000
0.015006125000000,PXX,0b  0000  0100
0.015142625000000,PXX,0b  0100  0000
0.015277750000000,PXX,0b  0000  0000
0.015402312500000,PXX,0b  0000  0100
0.015537937500000,PXX,0b  1100  0000
0.015680812500000,PXX,0b  0000  0000
0.015806000000000,PXX,0b  0000  0100
0.015940062500000,PXX,0b  0100  0000
0.016075750000000,PXX,0b  0100  0000
0.016205875000000,PXX,0b  0110  0111
0.016370250000000,PXX,0b  1111  0111
0.016563000000000,PXX,0b  0111  1110
0.023269250000000,PXX,0b  0111  1110
0.023445750000000,PXX,0b  0001  0010
0.023596500000000,PXX,0b  0000  0000
0.023724875000000,PXX,0b  0000  0000
0.023849437500000,PXX,0b  0000  0000
0.023975375000000,PXX,0b  0000  0100
0.024109437500000,PXX,0b  0100  0000
0.024244562500000,PXX,0b  0000  0000
0.024370750000000,PXX,0b  0000  0100
0.024504812500000,PXX,0b  0100  0000
0.024644625000000,PXX,0b  0000  0000
0.024769812500000,PXX,0b  0000  0100
0.024903875000000,PXX,0b  0100  0000
0.025041375000000,PXX,0b  0000  0000
0.025169750000000,PXX,0b  0000  0100
0.025304625000000,PXX,0b  0100  0000
0.025440625000000,PXX,0b  0100  0010
0.025580937500000,PXX,0b  0110  0111
0.025749125000000,PXX,0b  1111  0111
0.025938875000000,PXX,0b  0111  1110
0.032649687500000,PXX,0b  0111  1110
0.032823562500000,PXX,0b  0001  0010
0.032967375000000,PXX,0b  0000  0000
0.033095687500000,PXX,0b  0000  0000
0.033221062500000,PXX,0b  0000  0000
0.033347750000000,PXX,0b  0000  0100
