Time [s], Analyzer Name, Decoded Protocol Result
0.005400000000000,PXX,0b  0111  1110
0.005576000000000,PXX,0b  0001  0010
0.005720062500000,PXX,0b  0000  0000
0.005848062500000,PXX,0b  0000  0000
0.005976062500000,PXX,0b  0000  0000
0.006104125000000,PXX,0b  0000  0100
0.006240125000000,PXX,0b  0100  0000
0.006376125000000,PXX,0b  0000  0000
0.006504125000000,PXX,0b  0000  0100
0.006640187500000,PXX,0b  0100  0000
0.006776187500000,PXX,0b  0000  0000
0.006904187500000,PXX,0b  0000  0100
0.007040250000000,PXX,0b  0100  0000
0.007176250000000,PXX,0b  0000  0000
0.007304250000000,PXX,0b  0000  0100
0.007440312500000,PXX,0b  0100  0000
0.007576312500000,PXX,0b  0100  0000
0.007712312500000,PXX,0b  0110  0111
0.007880312500000,PXX,0b  1110  0111
0.008072375000000,PXX,0b  0111  1110
0.014417187500000,PXX,0b  0111  1110
0.014593187500000,PXX,0b  0001  0010
0.014737250000000,PXX,0b  0000  0000
0.014865250000000,PXX,0b  0000  0000
0.014993250000000,PXX,0b  0000  0001
0.015129312500000,PXX,0b  0001  1000
0.015273312500000,PXX,0b  1000  0000
0.015409312500000,PXX,0b  0000  0001
0.015545375000000,PXX,0b  0001  1000
0.015689375000000,PXX,0b  1000  0000
0.015825375000000,PXX,0b  0000  0001
0.015961375000000,PXX,0b  0001  1000
0.016105437500000,PXX,0b  1000  0000
0.016241437500000,PXX,0b  0000  0001
0.016377437500000,PXX,0b  0001  1000
0.016521500000000,PXX,0b  1000  0000
0.016657500000000,PXX,0b  0100  0000
0.016793500000000,PXX,0b  0001  1001
0.016945562500000,PXX,0b  1010  1001
0.017105562500000,PXX,0b  0111  1110
0.023434375000000,PXX,0b  0111  1110
0.023610375000000,PXX,0b  0001  0010
0.023754437500000,PXX,0b  0000  0000
0.023882437500000,PXX,0b  0000  0000
0.024010437500000,PXX,0b  0000  0000
0.024138500000000,PXX,0b  0000  0100
0.024274500000000,PXX,0b  0100  0000
0.024410500000000,PXX,0b  0000  0000
0.024538500000000,PXX,0b  0000  0100
0.024674562500000,PXX,0b  0100  0000
0.024810562500000,PXX,0b  0000  0000
0.024938562500000,PXX,0b  0000  0100
0.025074625000000,PXX,0b  0100  0000
0.025210625000000,PXX,0b  0000  0000
0.025338625000000,PXX,0b  0000  0100
0.025474625000000,PXX,0b  0100  0000
0.025610687500000,PXX,0b  0100  0000
0.025746687500000,PXX,0b  0110  0111
0.025914687500000,PXX,0b  1110  0111
0.026106750000000,PXX,0b  0111  1110
0.032451562500000,PXX,0b  0111  1110
0.032627562500000,PXX,0b  0001  0010
0.032771625000000,PXX,0b  0000  0000
0.032899625000000,PXX,0b  0000  0000
0.033027625000000,PXX,0b  0000  0001
0.033163687500000,PXX,0b  0001  1000
0.033307687500000,PXX,0b  1000  0000
0.033443687500000,PXX,0b  0000  0001
0.033579687500000,PXX,0b  0001  1000
0.033723750000000,PXX,0b  1000  0000
0.033859750000000,PXX,0b  0000  0001
0.033995750000000,PXX,0b  0001  1000
0.034139812500000,PXX,0b  1000  0000
0.034275812500000,PXX,0b  0000  0001
0.034411812500000,PXX,0b  0001  1000
0.034555875000000,PXX,0b  1000  0000
0.034691875000000,PXX,0b  0100  0000
0.034827875000000,PXX,0b  0001  1001
0.034979937500000,PXX,0b  1010  1001
0.035139937500000,PXX,0b  0111  1110
0.041468750000000,PXX,0b  0111  1110
0.041644750000000,PXX,0b  0001  0010
0.041788812500000,PXX,0b  0000  0000
0.041916812500000,PXX,0b  0000  0000
0.042044812500000,PXX,0b  0000  0000
0.042172875000000,PXX,0b  0000  0100
0.042308875000000,PXX,0b  0100  0000
0.042444875000000,PXX,0b  0000  0000
0.042572875000000,PXX,0b  0000  0100
0.042708937500000,PXX,0b  0100  0000
0.042844937500000,PXX,0b  0000  0000
0.042972937500000,PXX,0b  0000  0100
0.043109000000000,PXX,0b  0100  0000
0.043245000000000,PXX,0b  0000  0000
0.043373000000000,PXX,0b  0000  0100
0.043509000000000,PXX,0b  0100  0000
0.043645062500000,PXX,0b  0100  0000
0.043781062500000,PXX,0b  0110  0111
0.043949062500000,PXX,0b  1110  0111
0.044141125000000,PXX,0b  0111  1110
0.050485937500000,PXX,0b  0111  1110
