x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
+1.35000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+1.40000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+1.45000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+1.50000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+1.55000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+1.60000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+1.65000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+1.70000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+1.75000E-06,-105.52758351E-03,-65.32657891E-03,+14.89447241649E+00,+60.67841314E-03
+1.80000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+1.85000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+1.90000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+1.95000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+80.77891544E-03
+2.00000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+2.05000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+2.10000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+20.47740854E-03
+2.15000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+2.20000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+2.25000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+2.30000E-06,-226.13059729E-03,-65.32657892E-03,+14.89447241649E+00,+20.47740854E-03
+2.35000E-06,-65.32657892E-03,-105.52758351E-03,+14.89447241649E+00,+40.57791084E-03
+2.40000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+2.45000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+2.50000E-06,-185.92959270E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+2.55000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+2.60000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+2.65000E-06,-65.32657892E-03,-65.32657892E-03,+14.89447241649E+00,+80.77891544E-03
+2.70000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+2.75000E-06,-105.52758351E-03,-65.32657891E-03,+14.89447241649E+00,+20.47740854E-03
+2.80000E-06,-105.52758351E-03,-105.52758351E-03,+14.89447241649E+00,+40.57791084E-03
+2.85000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+2.90000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+2.95000E-06,-65.32657892E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+3.00000E-06,-65.32657892E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+3.05000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
