Time [s], Analyzer Name, Decoded Protocol Result
0.001584312500000,PXX,0b  0111  1110
0.001757375000000,PXX,0b  0001  0010
0.001898062500000,PXX,0b  0000  0000
0.002026562500000,PXX,0b  0000  0000
0.002152062500000,PXX,0b  0000  0000
0.002288250000000,PXX,0b  0000  0100
0.002424000000000,PXX,0b  0100  0000
0.002560812500000,PXX,0b  0000  0000
0.002689312500000,PXX,0b  0000  0100
0.002821000000000,PXX,0b  0100  0000
0.002952250000000,PXX,0b  0000  0000
0.003080750000000,PXX,0b  0000  0100
0.003214062500000,PXX,0b  0100  0000
0.003348312500000,PXX,0b  0000  0000
0.003476750000000,PXX,0b  0000  0100
0.003612500000000,PXX,0b  0100  0000
0.003748312500000,PXX,0b  0100  0000
0.003883250000000,PXX,0b  0110  0111
0.004050937500000,PXX,0b  1111  0111
0.004250062500000,PXX,0b  0111  1110
0.010955937500000,PXX,0b  0111  1110
0.011131687500000,PXX,0b  0001  0010
0.011284125000000,PXX,0b  0000  0000
0.011413375000000,PXX,0b  0000  0000
0.011543625000000,PXX,0b  0000  0000
0.011672062500000,PXX,0b  0000  0100
0.011803812500000,PXX,0b  0100  0000
0.011935062500000,PXX,0b  0000  0000
0.012061250000000,PXX,0b  0000  0100
0.012196187500000,PXX,0b  0100  0000
0.012335125000000,PXX,0b  0000  0000
0.012463562500000,PXX,0b  0000  0100
0.012600125000000,PXX,0b  0100  0000
0.012732125000000,PXX,0b  0000  0000
0.012860625000000,PXX,0b  0000  0100
0.012996312500000,PXX,0b  0100  0000
0.013132375000000,PXX,0b  0100  0000
0.013275250000000,PXX,0b  0110  0111
0.013442687500000,PXX,0b  1111  0111
0.013633312500000,PXX,0b  0111  1110
0.020330812500000,PXX,0b  0111  1110
0.020504687500000,PXX,0b  0001  0010
0.020647750000000,PXX,0b  0000  0000
0.020776187500000,PXX,0b  0000  0000
0.020906500000000,PXX,0b  0000  0000
0.021035187500000,PXX,0b  0000  0100
0.021167687500000,PXX,0b  0100  0000
0.021309875000000,PXX,0b  0000  0000
0.021438375000000,PXX,0b  0000  0100
0.021574062500000,PXX,0b  0100  0000
0.021711687500000,PXX,0b  0000  0000
0.021832187500000,PXX,0b  0000  0100
0.021967875000000,PXX,0b  0100  0000
0.022101000000000,PXX,0b  0000  0001
0.022237250000000,PXX,0b  0000  0100
0.022369000000000,PXX,0b  0100  0000
0.022504000000000,PXX,0b  0100  0000
0.022640562500000,PXX,0b  0110  0111
0.022809562500000,PXX,0b  1111  0111
0.023000187500000,PXX,0b  0111  1110
0.029704687500000,PXX,0b  0111  1110
0.029878625000000,PXX,0b  0001  0010
0.030021687500000,PXX,0b  0000  0000
0.030144750000000,PXX,0b  0000  0000
0.030279375000000,PXX,0b  0000  0000
0.030399812500000,PXX,0b  0000  0100
0.030531562500000,PXX,0b  0100  0000
0.030670000000000,PXX,0b  0000  0000
