Time [s]; Analyzer Name; Decoded Protocol Result;;;;;;;
0.102115166666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102157000000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102198833333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102240666666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102282500000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102324250000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102366166666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102407916666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102449833333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102491583333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102533416666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102575250000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102617083333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102658916666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102700750000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102742583333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.102784333333333;I2C;0b  0000  0000 + ACK;0b  0110  1000 + ACK;0b  0110  1000 + ACK;0x00 + ACK;0x68 + ACK;0x68 + ACK;0x68 + ACK;0x68 + ACK
0.102826166666667;I2C;0b  0000  0000 + ACK;0b  0000  1000 + ACK;0b  0000  1000 + ACK;0x00 + ACK;0x08 + ACK;0x08 + ACK;0x08 + ACK;0x08 + ACK
0.102868000000000;I2C;0b  0000  0000 + ACK;0b  0001  1100 + ACK;0b  0001  1100 + ACK;0x00 + ACK;0x1C + ACK;0x1C + ACK;0x1C + ACK;0x1C + ACK
0.102909833333333;I2C;0b  0000  0000 + ACK;0b  1010  0000 + ACK;0b  1010  0000 + ACK;0x00 + ACK;0xA0 + ACK;0xA0 + ACK;0xA0 + ACK;0xA0 + ACK
0.102951666666667;I2C;0b  0000  0000 + ACK;0b  1100  0011 + ACK;0b  1100  0011 + ACK;0x00 + ACK;0xC3 + ACK;0xC3 + ACK;0xC3 + ACK;0xC3 + ACK
0.102993500000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103035333333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103077166666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103119000000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103160833333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103202583333333;I2C;0b  0000  0000 + ACK;0b  1010  0001 + ACK;0b  1110  0001 + ACK;0x00 + ACK;0xA1 + ACK;0xA1 + ACK;0xE1 + ACK;0xE1 + ACK
0.103244416666667;I2C;0b  0000  0000 + ACK;0b  1100  0001 + ACK;0b  1100  0111 + ACK;0x00 + ACK;0xC1 + ACK;0xC1 + ACK;0xC7 + ACK;0xC7 + ACK
0.103286250000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  1100  0001 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0xC1 + ACK;0xC1 + ACK
0.103328083333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  1010  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0xA0 + ACK;0xA0 + ACK
0.103369916666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103411750000000;I2C;0b  0000  0000 + ACK;0b  0000  1000 + ACK;0b  0000  1000 + ACK;0x00 + ACK;0x08 + ACK;0x08 + ACK;0x08 + ACK;0x08 + ACK
0.103453583333333;I2C;0b  0000  0000 + ACK;0b  0110  0000 + ACK;0b  0110  0000 + ACK;0x00 + ACK;0x60 + ACK;0x60 + ACK;0x60 + ACK;0x60 + ACK
0.103495416666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103537250000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103579083333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103620916666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103662750000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103704500000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103746333333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103788166666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103830000000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103871833333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103913666666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.103955500000000;I2C;0b  0000  0000 + ACK;0b  0000  1110 + ACK;0b  0000  1110 + ACK;0x00 + ACK;0x0E + ACK;0x0E + ACK;0x0E + ACK;0x0E + ACK
0.103997250000000;I2C;0b  0000  0000 + ACK;0b  0000  1100 + ACK;0b  0000  1100 + ACK;0x00 + ACK;0x0C + ACK;0x0C + ACK;0x0C + ACK;0x0C + ACK
0.104039083333333;I2C;0b  0000  0000 + ACK;0b  1111  1100 + ACK;0b  1111  1100 + ACK;0x00 + ACK;0xFC + ACK;0xFC + ACK;0xFC + ACK;0xFC + ACK
0.104080916666667;I2C;0b  0000  0000 + ACK;0b  0111  0000 + ACK;0b  0111  0000 + ACK;0x00 + ACK;0x70 + ACK;0x70 + ACK;0x70 + ACK;0x70 + ACK
0.104122750000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104164583333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104206333333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104248166666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104290000000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104331833333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104373666666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104415500000000;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104457333333333;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104499166666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.104541000000000;I2C;0b  0000  0000 + ACK;0b  0000  0010 + ACK;0b  1000  1010 + ACK;0x00 + ACK;0x02 + ACK;0x02 + ACK;0x8A + ACK;0x8A + ACK
0.104582833333333;I2C;0b  0000  0000 + ACK;0b  0010  0000 + ACK;0b  0010  0000 + ACK;0x00 + ACK;0x20 + ACK;0x20 + ACK;0x20 + ACK;0x20 + ACK
0.104624666666667;I2C;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0b  0000  0000 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK;0x00 + ACK
0.110303166666667;I2C;;;;;;;;
0.110344833333333;I2C;;;;;;;;
0.110386416666667;I2C;;;;;;;;
0.110439583333333;I2C;;;;;;;;
