x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
-4.4900E-03,-143.2160E-03,-62.8140E-03,+14.8944724E+00,+3.3370603E+00
-4.4800E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.3081658E+00
-4.4700E-03,-103.0150E-03,-65.3266E-03,+14.8944724E+00,+3.3182161E+00
-4.4600E-03,-145.7286E-03,-47.7386E-03,+14.8944724E+00,+3.3056533E+00
-4.4500E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-4.4400E-03,-203.5175E-03,-65.3266E-03,+14.8944724E+00,+3.3257538E+00
-4.4300E-03,-65.3266E-03,+15.0754E-03,+14.8944724E+00,+3.3157035E+00
-4.4200E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.3056533E+00
-4.4100E-03,-67.8391E-03,-65.3266E-03,+14.8944724E+00,+3.2981156E+00
-4.4000E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.2855528E+00
-4.3900E-03,-188.4422E-03,-27.6381E-03,+14.8944724E+00,+3.3157035E+00
-4.3800E-03,-128.1406E-03,-2.5125E-03,+14.8944724E+00,+3.2968593E+00
-4.3700E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3358040E+00
-4.3600E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.3081658E+00
-4.3500E-03,-103.0150E-03,-27.6381E-03,+14.8944724E+00,+3.2968593E+00
-4.3400E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.3056533E+00
-4.3300E-03,-148.2412E-03,-62.8140E-03,+14.8944724E+00,+3.3358040E+00
-4.3200E-03,-100.5025E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-4.3100E-03,-108.0401E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-4.3000E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.3056533E+00
-4.2900E-03,-67.8391E-03,+15.0754E-03,+14.8944724E+00,+3.2981156E+00
-4.2800E-03,-203.5175E-03,-7.5376E-03,+14.8944724E+00,+3.3257538E+00
-4.2700E-03,-103.0150E-03,+15.0754E-03,+14.8944724E+00,+3.3370603E+00
-4.2600E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-4.2500E-03,-223.6180E-03,-65.3266E-03,+14.8944724E+00,+3.2981156E+00
-4.2400E-03,-87.9396E-03,-42.7135E-03,+14.8944724E+00,+3.3257538E+00
-4.2300E-03,-183.4170E-03,-27.6381E-03,+14.8944724E+00,+3.3182161E+00
-4.2200E-03,-128.1406E-03,-47.7386E-03,+14.8944724E+00,+3.3370603E+00
-4.2100E-03,-145.7286E-03,+10.0503E-03,+14.8944724E+00,+3.3370603E+00
-4.2000E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-4.1900E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-4.1800E-03,-100.5025E-03,-47.7386E-03,+14.8944724E+00,+3.3282663E+00
-4.1700E-03,+10.0503E-03,+12.5629E-03,+14.8944724E+00,+3.2579146E+00
-4.1600E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3257538E+00
-4.1500E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3157035E+00
-4.1400E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-4.1300E-03,-145.7286E-03,-62.8140E-03,+14.8944724E+00,+3.2968593E+00
-4.1200E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.3081658E+00
-4.1100E-03,-103.0150E-03,-27.6381E-03,+14.8944724E+00,+3.3370603E+00
-4.1000E-03,-145.7286E-03,-47.7386E-03,+14.8944724E+00,+3.3282663E+00
-4.0900E-03,-145.7286E-03,-62.8140E-03,+14.8944724E+00,+3.2981156E+00
-4.0800E-03,-123.1155E-03,-7.5376E-03,+14.8944724E+00,+3.2968593E+00
-4.0700E-03,-145.7286E-03,-70.3517E-03,+14.8944724E+00,+3.3182161E+00
-4.0600E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-4.0500E-03,-65.3266E-03,+12.5629E-03,+14.8944724E+00,+3.2981156E+00
-4.0400E-03,-123.1155E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-4.0300E-03,-103.0150E-03,-103.0150E-03,+14.8944724E+00,+3.2968593E+00
-4.0200E-03,-82.9145E-03,-2.5125E-03,+14.8944724E+00,+3.3056533E+00
-4.0100E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3358040E+00
-4.0000E-03,-65.3266E-03,-42.7135E-03,+14.8944724E+00,+3.2968593E+00
-3.9900E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-3.9800E-03,-65.3266E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-3.9700E-03,-67.8391E-03,-65.3266E-03,+14.8944724E+00,+3.3358040E+00
-3.9600E-03,-87.9396E-03,-42.7135E-03,+14.8944724E+00,+3.2968593E+00
-3.9500E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-3.9400E-03,-163.3165E-03,-65.3266E-03,+14.8944724E+00,+3.3056533E+00
-3.9300E-03,-143.2160E-03,+12.5629E-03,+14.8944724E+00,+3.2968593E+00
-3.9200E-03,-87.9396E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.9100E-03,-150.7537E-03,-27.6381E-03,+14.8944724E+00,+3.3182161E+00
-3.9000E-03,-82.9145E-03,-2.5125E-03,+14.8944724E+00,+3.3370603E+00
-3.8900E-03,-145.7286E-03,+12.5629E-03,+14.8944724E+00,+3.2968593E+00
-3.8800E-03,-168.3417E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.8700E-03,-108.0401E-03,-27.6381E-03,+14.8944724E+00,+3.3182161E+00
-3.8600E-03,-82.9145E-03,-2.5125E-03,+14.8944724E+00,+3.2968593E+00
-3.8500E-03,-143.2160E-03,+15.0754E-03,+14.8944724E+00,+3.2981156E+00
-3.8400E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.2968593E+00
-3.8300E-03,-183.4170E-03,-103.0150E-03,+14.8944724E+00,+3.3182161E+00
-3.8200E-03,-128.1406E-03,-65.3266E-03,+14.8944724E+00,+3.3282663E+00
-3.8100E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-3.8000E-03,-145.7286E-03,-7.5376E-03,+14.8944724E+00,+3.3257538E+00
-3.7900E-03,-103.0150E-03,-65.3266E-03,+14.8944724E+00,+3.3157035E+00
-3.7800E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-3.7700E-03,-143.2160E-03,+12.5629E-03,+14.8944724E+00,+3.3345477E+00
-3.7600E-03,-110.5527E-03,-42.7135E-03,+14.8944724E+00,+3.3257538E+00
-3.7500E-03,-65.3266E-03,-22.6130E-03,+14.8944724E+00,+3.3370603E+00
-3.7400E-03,-145.7286E-03,-2.5125E-03,+14.8944724E+00,+3.3056533E+00
-3.7300E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2981156E+00
